v_id,vignette_id,se_id,variable_order,context
ff_disj,ff_disj,symm_od,"MD,L,FF","1,1"
ff_conj,ff_conj,conj,"MD,L,FF","1,1"
rock_bottle,rock_bottle,late_preemption,"ST,BT,SH,BH,BS","1,1"
one_rock,one_rock,symm_od,"MD,L,FF","1,0"
omission,omission,prevention,"A,B,D","1,0"
bogus_prevention,bogus_prevention,prevention,"A,B,D","0,1"
prevention,prevention,prevention,"A,B,D","1,1"
loader,loader,loader,"A,B,C,D","1,0,1"
combination_lamp,combination_lamp,three_switches,"A,B,C,L","1,-1,-1"
ff_mechanisms,ff_mechanisms,ff_mechanisms,"MD,L,A,B,C,FF","1,1"
campfire_vote,campfire_vote,campfire_vote,"C,R,W,H1,H2,O","1,1,0,0,0"
simple_voting,simple_voting,voting,"A,B,C,D,E,F","1,1,1,1,1"
engineer1,engineer1,switch1,"F,T,A",1
engineer2,engineer1,switch2,"F,LB,RB,A","1,0,0"
engineer3,engineer1,switch3,"F,LT,RT,A",1
dog_bite,dog_bite,dog_bite,"DB, P, B",1
careful_poisoning,careful_poisoning,early_preemption_iso,"A,B,D",1
voting_machine,voting_machine,voting_machine,"V1,V2,M,P","1,1"
two_paths,two_paths,two_paths,"A,B,C,D",1
putin_watering,putin_watering,default_omission,"F,C,E","0,1"
neighbor_watering,neighbor_watering,deviant_omission,"F,C,E","0,1"
plant_watering,plant_watering,double_omission,"B,P,D","0,0"
boulder,boulder,short_circuit,"F,B,D,E",1
ext_dp,ext_dp,ext_dp,"A,F,B,C,D,E","1,1"
mod_ext_dp,mod_ext_dp,mod_ext_dp,"A,G,F,B,C,D,E","1,0,1"
iso_mod_ext_dp,iso_mod_ext_dp,iso_mod_ext_dp,"A,G,C,B,H,D,E","1,1,1"
backup_assassin,backup_assassin,early_preemption,"T,S,V",1
double_prevention,double_prevention,double_prevention,"C,D,B,E","1,1"
double_prevention_pearl,double_prevention_pearl,double_prevention_pearl,"BPT,SPS,LE,LSS,SST,TD","1,1"
double_prevention_pearl_backup,double_prevention_pearl_backup,double_prevention_pearl_backup,"BPT,SPS,LE,HPT,LSS,SST,TD","1,1"
double_prevention_hall,double_prevention_hall,double_prevention_hall,"A,B,C,D,E","1,1,1"
non_existent_threat,non_existent_threat,double_prevention_hall,"A,B,C,D,E","1,0,1"
backup_threat_canceling,backup_threat_canceling,backup_threat_canceling,"A,B,C,F,H,D,E","1,1,1,1"
affecting,affecting,affecting,"A,B,D","1,1"
counterexample_transitivity,counterexample_transitivity,counterexample_transitivity,"A,B,D",1
april_rains,april_rains,april_rains,"A,T,F","1,3"
april_rains2,april_rains,april_rains2,"A,M,J,F","1,1,1"
rock_bottle_time,rock_bottle_time,rock_bottle_time,"ST,BT,T3,H1,BS1,H2,BS2,H3,BS3","1,1,0"
monday_treatment,monday_treatment,monday_treatment,"M,B",1
monday_treatment_omission,monday_treatment_omission,monday_treatment,"M,B",0
monday_treatment_deadly,monday_treatment_deadly,monday_treatment_deadly,"M,T,B",1
rock_bottle_noisy,rock_bottle_noisy,rock_bottle_noisy,"ST,N,BT,T3,H1,BS1,H15,BS15,H2,BS2,H3,BS3","1,1,1,0"
fred_finger,fred_finger,fred_finger,"FS, FF",1
larry_loanshark,larry_loanshark,larry_loanshark,"FS,LL,LC,FF","1,0"
command_trumping,command_trumping,trumping_preemption,"M,S,C","1,1"
window_wall,window_wall,prevention_overdetermination,"C,W,S","1,1"
shock,shock,shock,"A,B,C",1
fancy_lamp,fancy_lamp,fancy_lamp,"A,B,C,N0,N1,N2,L","2,0,0"
marksman_omission,marksman_omission,marksman_omission,"B,A,D",0
unloaded_gun,unloaded_gun,unloaded_gun,"A,C,P,F,D","1,0,1"
safe_gun,safe_gun,short_circuit_variation,"T,H,C,F",1
deflected_bullet,deflected_bullet,deflected_bullet,"A,B,C,H","1,1"
two_loaders,two_loaders,two_loaders,"A,La,B,Lb,H","1,0,1,1"
thrombosis,thrombosis,inevitable_prevention,"B,P,T",1
pollutant50,pollutant50,pollutant50,"A, B, D","100, 60"
pollutant80,pollutant80,pollutant80,"A, B, D","100, 60"
pollutant120,pollutant120,pollutant120,"A, B, D","100, 60"
pollutant80_continuous,pollutant80,pollutant80_continuous,"A, B, D","100, 60"
