v_id,cause,cause_contrast,effect,effect_contrast,query_text,core_query,intuition,intuition_source,notes,HP01,HP01_source,HP05,HP05_source,HP15,HP15_source,H01,H01_source,H07,H07_source,Hall,Hall_source,Baumgartner13,Baumgartner_source,AG24,AG24_source,G21,G21_source,BV18,BV18_source
ff_disj,MD=1,,FF=1,,Does the dropped match cause the forest fire?,1.0,0,,,1.0,,1.0,,0.0,Halpern 2015,,,,,,,,,,,,,,
ff_disj,L=1,,FF=1,,Does the lightning strike cause the forest fire?,0.0,0,,,1.0,,1.0,,0.0,Halpern 2015,,,,,,,,,,,,,,
ff_disj,MD=1 and L=1,,FF=1,,Do the dropped match and the lightning strike cause the forest fire?,1.0,1,,,0.0,,0.0,,1.0,Halpern 2015,,,,,,,,,,,,,,
ff_conj,MD=1,,FF=1,,Does the dropped match cause the forest fire?,1.0,1,,,1.0,,1.0,,1.0,Halpern 2015,,,,,,,,,,,,,,
ff_conj,L=1,,FF=1,,Does the lightning strike cause the forest fire?,0.0,1,,,1.0,,1.0,,1.0,Halpern 2015,,,,,,,,,,,,,,
ff_conj,MD=1 and L=1,,FF=1,,Do the dropped match and the lightning strike cause the forest fire?,1.0,0,,,0.0,,0.0,,0.0,Halpern 2015,,,,,,,,,,,,,,
rock_bottle,ST=1,,BS=1,,Does Suzy's throw cause the bottle's shattering?,1.0,1,,,1.0,Halpern 2015,1.0,Halpern 2015,1.0,Halpern 2015,,,,,,,,,,,,,,
rock_bottle,SH=1,,BS=1,,Does Suzy's rock hitting the bottle cause the bottle shattering?,0.0,1,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,
rock_bottle,BT=1,,BS=1,,Does Billy's throw cause the bottle's shattering?,1.0,0,,,0.0,Halpern 2015,0.0,Halpern 2015,0.0,Halpern 2015,,,,,,,,,,,,,,
rock_bottle,BH=1,,BS=1,,Does Billy's rock hitting the bottle cause the bottle shattering?,0.0,0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
rock_bottle,BH=0,,BS=1,,Does Billy's rock not hitting the bottle cause the bottle shattering?,0.0,0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
one_rock,MD=1,,FF=1,,Does Suzy's throw cause the bottle's shattering?,1.0,1,,,,,,,,,,,,,,,,,,,,,,
one_rock,L=0,,FF=1,,Does Billy not throwing cause the bottle's shattering?,0.0,0,,,,,,,,,,,,,,,,,,,,,,
omission,A=1,,D=1,,Does the assassin putting poison into victim's coffee cause victim's death?,,1,,,,,,,,,,,,,,,,,,,,,,
omission,B=0,,D=1,,Does the bodyguard not putting the antidote into victim's coffee cause victim's death?,,1,,,,,,,,,,,,,,,,,,,,,,
bogus_prevention,A=0,,D=0,,Does the assassin not putting poison into victim's coffee cause victim's survival?,,0,,,,,,,0.0,Halpern 2015 (implicitly),,,,,,,,,,,,,,
bogus_prevention,B=1,,D=0,,Does the bodyguard putting the antidote into victim's coffee cause victim's survival?,1.0,0,,,1.0,Halpern 2015,1.0,Halpern 2015,0.0,Halpern 2015,,,,,,,,,,,,,,
bogus_prevention,A=0 and B=1,,D=0,,Does the assassin not putting poison into victim's coffee and the bodyguard putting the antidote into victim's coffee cause victim's survival?,,0,,,0.0,Halpern 2015,0.0,Halpern 2015,1.0,Halpern 2015,,,,,,,,,,,,,,
prevention,A=1,,D=0,,Does the assassin putting poison into victim's coffee cause victim's survival?,,0,Weslake 2015,,,,,,,,,,,,,,,,,,,,,
prevention,B=1,,D=0,,Does the bodyguard putting the antidote into victim's coffee cause victim's survival?,,1,Weslake 2015,,,,,,,,,,,,,,,,,,,,,
loader,A=1,,D=1,,Does A loading the gun cause the victim to die?,,0,Halpern 2015,,1.0,Halpern 2015,0.0,Halpern 2015,0.0,Halpern 2015,,,,,,,,,,,,,,
loader,C=1,,D=1,,Does C loading and shooting their gun cause the victim to die?,,1,Halpern 2015,,1.0,Halpern 2015,1.0,Halpern 2015,1.0,Halpern 2015,,,,,,,,,,,,,,
combination_lamp,A=1,,L=1,,Does switch A being in position 1 cause the lamp to turn on?,,0,Weslake 2015,,1.0,Halpern 2015,1.0,Halpern 2015,0.0,Halpern 2015,,,1.0,Halpern 2015,,,,,,,,,,
combination_lamp,B=-1,,L=1,,Does switch B being in position -1 cause the lamp to turn on?,,1,Weslake 2015,,1.0,Halpern 2015,1.0,Halpern 2015,1.0,Halpern 2015,,,,,,,,,,,,,,
combination_lamp,C=-1,,L=1,,Does switch C being in position -1 cause the lamp to turn on?,,1,Weslake 2015,,1.0,Halpern 2015,1.0,Halpern 2015,1.0,Halpern 2015,,,,,,,,,,,,,,
ff_mechanisms,MD=1,,FF=1,,Does the dropped match cause the forest fire?,,1,Halpern 2015,,1.0,Halpern 2015,1.0,Halpern 2015,1.0,Halpern 2015,,,,,,,,,,,,,,
ff_mechanisms,L=1,,FF=1,,Does the lightning strike cause the forest fire?,,1,Halpern 2015,,1.0,Halpern 2015,1.0,Halpern 2015,1.0,Halpern 2015,,,,,,,,,,,,,,
campfire_vote,C=1,,O=1,,"Does the cowboy voting ""yes"" cause the group to go on a round-up?",,1,Halpern 2015,,1.0,Halpern 2015,1.0,Halpern 2015,0.0,Halpern 2015,,,,,,,,,,,,,,
campfire_vote,R=1,,O=1,,"Does the ranger voting ""yes"" cause the group to go on a round-up?",,1,Halpern 2015; but-for-cause,,1.0,Halpern 2015,1.0,Halpern 2015,1.0,Halpern 2015,,,,,,,,,,,,,,
campfire_vote,W=0,,O=1,,"Does the wrangler voting ""no"" cause the group to go on a round-up?",,0,Halpern 2015,,1.0,Halpern 2015,1.0,Halpern 2015,0.0,Halpern 2015,,,,,,,,,,,,,,
campfire_vote,H1=0,,O=1,,"Does hand 1 voting ""no"" cause the group to go on a round-up?",,0,Halpern 2015,,1.0,Halpern 2015,1.0,Halpern 2015,0.0,Halpern 2015,,,,,,,,,,,,,,
campfire_vote,H2=0,,O=1,,"Does hand 2 voting ""no"" cause the group to go on a round-up?",,0,Halpern 2015,,1.0,Halpern 2015,1.0,Halpern 2015,0.0,Halpern 2015,,,,,,,,,,,,,,
simple_voting,A=1,,F=1,,Does A firing cause the target to fall?,,0,,,1.0,Halpern 2015,1.0,Halpern 2015,0.0,Halpern 2015,,,,,,,,,,,,,,
simple_voting,B=1,,F=1,,Does B firing cause the target to fall?,,0,,,1.0,Halpern 2015,1.0,Halpern 2015,0.0,Halpern 2015,,,,,,,,,,,,,,
simple_voting,C=1,,F=1,,Does C firing cause the target to fall?,,0,,,1.0,Halpern 2015,1.0,Halpern 2015,0.0,Halpern 2015,,,,,,,,,,,,,,
simple_voting,D=1,,F=1,,Does D firing cause the target to fall?,,0,,,1.0,Halpern 2015,1.0,Halpern 2015,0.0,Halpern 2015,,,,,,,,,,,,,,
simple_voting,E=1,,F=1,,Does E firing cause the target to fall?,,0,,,1.0,Halpern 2015,1.0,Halpern 2015,0.0,Halpern 2015,,,,,,,,,,,,,,
simple_voting,A=1 and B=1 and C=1,,F=1,,Does A firing and B firing and C firing cause the target to fall?,,1,subset of voters,,0.0,Halpern 2015,0.0,Halpern 2015,1.0,Halpern 2015 (? - unclear if applied to variation with third candidate),,,,,,,,,,,,,,
engineer1,F=1,,A=1,,Is flipping the switch a cause for the train's arrival?,,0,,,0.0,Halpern 2015,0.0,Halpern 2015,0.0,Halpern 2015,,,,,,,,,,,,,,
engineer1,F=1,,T=1,,Is flipping the switch a cause for the train going down the right track?,,1,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,
engineer1,T=1,,A=1,,Is the train going down the right track a cause for the train's arrival?,,1,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,
engineer2,F=1,,A=1,,Is flipping the switch a cause for the train's arrival?,,0,,,1.0,Halpern 2015,1.0,Halpern 2015,0.0,Halpern 2015,,,,,,,,,,,,,,
engineer3,F=1,,A=1,,Is flipping the switch a cause for the train's arrival?,,0,,,1.0,Halpern 2015,1.0,Halpern 2015,1.0,Halpern 2015,,,,,,,,,,,,,,
careful_poisoning,A=1,,D=0,,Is bodyguard putting the antidote into victim's coffee a cause of victim's survival?,,0,,,1.0,Halpern 2015,1.0,Halpern 2015,1.0,Halpern 2015,,,,,,,,,,,,,,
voting_machine,V1=1,,P=1,,"Is the first voter voting ""yes"" a cause of the measure being passed?",,1,Weslake 2015,,1.0,HP 2005,1.0,HP 2005,0.0,Halpern 2015 (sic: probably means P instead of M),,,,,,,,,,,,,,
voting_machine,V2=1,,P=1,,"Is the second voter voting ""yes"" a cause of the measure being passed?",,1,Weslake 2015,,1.0,HP 2005,1.0,HP 2005,0.0,Halpern 2015 (sic: probably means P instead of M),,,,,,,,,,,,,,
voting_machine,V1=1 and V2=1,,P=1,,"Is the first voter voting ""yes"" and the second voter voting ""yes"" a cause of the measure being passed?",,0,Halpern 2015,,0.0,Halpern 2015 (sic: probably means P instead of M),0.0,Halpern 2015 (sic: probably means P instead of M),1.0,Halpern 2015 (sic: probably means P instead of M),,,,,,,,,,,,,,
two_paths,A=1,,D=1,,,,1,but-for,counterexample to Hitchcock 2001 according to HP2015,1.0,Halpern 2015,1.0,Halpern 2015,1.0,Halpern 2015,0.0,Halpern 2015,,,,,,,,,,,,
putin_watering,F=0,,E=1,,Is the Queen not watering my plant a cause of the plant dying?,,0,AG24,,,,,,,,,,,,,,1.0,AG24,0.0,AG24,,,,
